Symbol,ADF_Statistic,ADF_p-value,Critical_Values,Hurst_Exponent,Current_Ratio,Current_MA
AEE,-2.8726857754977124,0.04861771578304955,"{'1%': -3.4371729482129885, '5%': -2.8645522259969534, '10%': -2.568373874086242}",0.45122765655544494,0.9675958279957894,79.70270000000001
AEP,-2.9256131116435835,0.04244958579327466,"{'1%': -3.437151658028634, '5%': -2.8645428373470563, '10%': -2.5683688733406793}",0.46760439550926414,0.9751162037626206,79.36489999999999
AKO-A,-2.9858205068093486,0.036239972674002884,"{'1%': -3.437102493904439, '5%': -2.8645211564578115, '10%': -2.568357325328449}",0.46138546611865117,0.9457083939014908,11.8324
AKO-B,-3.093303231151731,0.02705276516661331,"{'1%': -3.43707471791689, '5%': -2.8645089073679597, '10%': -2.5683508010519396}",0.4345010245520151,0.9841139851064272,14.408900000000001
ALE,-3.632279764909895,0.005173062856445828,"{'1%': -3.437123476942836, '5%': -2.8645304098119544, '10%': -2.568362253987091}",0.4582961153104635,1.005063181582136,55.4592
AMGN,-3.126501403559258,0.024653121776671897,"{'1%': -3.437123476942836, '5%': -2.8645304098119544, '10%': -2.568362253987091}",0.469549006982989,1.0341778658113399,256.6193
AONC,-5.407012110750549,3.2742103964262096e-06,"{'1%': -3.4407064257994495, '5%': -2.866109523416927, '10%': -2.5692034867497937}",0.49970241063404547,0.649568243330326,9.69875
ASBA,-4.179502385400554,0.0007135658196901851,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",0.29589157667582994,1.0115604835133092,20.63149
AVLV,-3.0285893785335367,0.032309402815737326,"{'1%': -3.442472769145813, '5%': -2.8668873212324817, '10%': -2.5696179384812297}",0.4306389102230877,1.006298251982471,53.443400000000004
AVSC,-3.51098395810866,0.0077094432327987055,"{'1%': -3.4445220811896657, '5%': -2.8677891615873192, '10%': -2.5700985643950656}",0.38789200456908624,0.9973765906446517,45.31889
BAM,-2.913728945204018,0.04377464225315063,"{'1%': -3.4577787098622674, '5%': -2.873608704758507, '10%': -2.573201765981991}",0.4664504514394452,1.0203182225734388,32.9015
BANFP,-3.036914050057248,0.03158795816222118,"{'1%': -3.4371305002986277, '5%': -2.864533507042016, '10%': -2.5683639036818957}",0.4929958944146655,0.979858464888405,26.452800000000003
BDX,-4.121360593368248,0.0008927120338677645,"{'1%': -3.4371305002986277, '5%': -2.864533507042016, '10%': -2.5683639036818957}",0.4368204248440077,0.8834371906341343,264.0482
BHACU,-2.8785533014706397,0.04789940183074763,"{'1%': -3.4427251295084678, '5%': -2.8669984098683736, '10%': -2.5696771375119254}",0.42854401947851783,0.9763487921892097,10.6929
BMRN,-3.1834196184341614,0.020964701038036767,"{'1%': -3.43706091543889, '5%': -2.8645028204932483, '10%': -2.568347558984588}",0.46886037572034345,1.0019049014579822,87.3536
BRC,-3.2808895147607537,0.015754626539037603,"{'1%': -3.437116468121892, '5%': -2.864527318984441, '10%': -2.5683606077036214}",0.4607749440760282,1.0446039968123584,52.2016
BSJU,-3.710726963644426,0.00396477497580256,"{'1%': -3.452867117291862, '5%': -2.8714554160827745, '10%': -2.5720532321867466}",0.4253328285562907,1.0088728228721655,24.344
BUJAU,-3.1030999497004705,0.02632462727115616,"{'1%': -3.497501033, '5%': -2.89090644, '10%': -2.5824349}",0.405130341298345,1.0124414591884847,10.37097
CL,-3.7905723582654463,0.0030052584115861356,"{'1%': -3.437123476942836, '5%': -2.8645304098119544, '10%': -2.568362253987091}",0.4704832531029522,1.0187164550069148,74.19139999999999
CMS,-3.032262139365071,0.03198940280714981,"{'1%': -3.437151658028634, '5%': -2.8645428373470563, '10%': -2.5683688733406793}",0.4637831668477229,1.0126457221892906,56.68320000000001
CNXN,-3.6108093080934562,0.005557707919567329,"{'1%': -3.43706091543889, '5%': -2.8645028204932483, '10%': -2.568347558984588}",0.4611963560332749,1.1552170043053225,52.3538
COLL,-3.273584429551728,0.01610134084197271,"{'1%': -3.43706091543889, '5%': -2.8645028204932483, '10%': -2.568347558984588}",0.48675518585204675,1.103218782376596,22.778799999999997
COYA,-2.9697341342372154,0.037819158089305784,"{'1%': -3.4602906385073884, '5%': -2.874708679520702, '10%': -2.573788599127782}",0.47715579514353895,1.2634820620971912,4.23433
CPII,-2.965068283908182,0.038287874081070115,"{'1%': -3.4492815848836296, '5%': -2.8698813715275406, '10%': -2.5712138845950587}",0.43582704904272956,0.9969535162962302,19.937739999999998
